№ п/п&UUID&Описание&Ответ&Качество&Пользователь
1&eeb3c713b2424981bfe7802cc84663e5&	Пиздец АК Якутия лажают &[['удивление']]&56.9&admin
7180&503850c699bd49419dfc0ea7097554a3&	Покойся с миром  # RosesForJonghyun # Jonghyun # StayStrongShawols # SHINeepictwittercomrsUfVqPyIa&[['спокойствие']]&55.62&ZabashtaYV
7181&990c550965f14315bbaee8eab14d505e&	MASKARMA FOREVER ! ! !  pictwittercomIwwdqpvn&['Ни одного']&55.62&ZabashtaYV
7182&0c351b5585c54d6a9a5c649ee9e26ecf&	Горе горькое &[['грусть']]&55.62&ZabashtaYV
7183&7bfb7125f327450b90cb5a5ac51464a6&	Атака на маршрутизаторы .&['Ни одного']&55.62&ZabashtaYV
7184&cf2669bb5ca34337987794bf859a7d08&	Еду на автобусе домой и реал незнала сколько стоит проезд , потому что езжу постоянно на такси Какой позор мне # санычинг&['Ни одного']&55.62&ZabashtaYV
7185&e198269d0a494b42ab0930a19ba7b765&	Что ж ты так неаккуратно то ? ! !&[['удивление']]&55.62&ZabashtaYV
7186&e2dbd3b105454423824211785d3c72f5&	Нынче так много бабочек&[['удивление']]&55.62&ZabashtaYV
7187&525f58dd696846a4b47446a9ee6cf68b&	Так резко похолодало   Надеюсь Бабье Лето никто не отменял ️ ️️ В осеннюю пору остается только дарить друг - другу больше тепла ,&[['счастье']]&55.62&ZabashtaYV
7188&210da84cf67d4c6b807a861df88b20a2&	Сонгуулийн үеэр ийм зарчим , дэглэм барьсан хүн л хүн чанараа хадгалж , хүнлэг хэвээрээ үлдэх нигууртай гэж байна даа &['Ни одного']&55.62&ZabashtaYV
7189&00315ba19f46463f8dde5a83f27afd2e&	Кд : &['Ни одного']&55.62&ZabashtaYV
7190&4de7fbfdf5344ad785c0ed0f53223ed8&	А еще есть девочки , которые кидают  Вот это ужас . .&[['гнев']]&55.62&ZabashtaYV
7191&1a224fca0a5d40ce96dc06d8ef5430d4&	еще мне принесли в кровать еду и чай  все , готова заснуть счастливым человеком&[['счастье']]&55.62&ZabashtaYV
7192&5aa145be0d84434183133fbc0517d7fc&	Тем - ура   Идем на треню &[['счастье']]&55.62&ZabashtaYV
7193&04ce36e0c413460a9b6d0687dbd7f1f9&	кроватия &['Ни одного']&55.62&ZabashtaYV
7194&42bec9ef3a3b47ad9b28af96af6b26b6&	Огооооо это очень круто &[['удивление']]&55.62&ZabashtaYV
7195&0fcdd2388f8e4b0794d5fbebceaa5313&	 Ретвитнула ) Нефритовый &['Ни одного']&55.62&ZabashtaYV
7196&f32955aa2b3744438e82e771961e9223&	Люди звали меня Софией все чаще  ( @ Экскурсионное Бюро Эклектика )&[['спокойствие']]&55.62&ZabashtaYV
7197&23cbfdfc4ca14206b75430ad2e2fba65&	Они везде и даже ТАМ  pictwittercomgATTOBuxHq&[['удивление']]&55.62&ZabashtaYV
7198&509ba34bbf1e4a09aa2d33aca61c7819&	Из речи Трампа  в Польше про Россию , Ясно , что американцы не только историю не знают .&[['удивление']]&55.62&ZabashtaYV
7199&e3a8ecb46acc4b24b536b789c61b946e&	я выиграл в карты два раза &[['спокойствие']]&55.62&ZabashtaYV
7200&cbf309c94fb14505b7c3b1f36a18ff38&	Кому в пол утра в выходной день потребовался душ на пол часа минимум&[['гнев']]&55.62&ZabashtaYV
7201&345b32d4bc34457f90860ac392831ed3&	Кого делала ? &[['спокойствие']]&55.62&ZabashtaYV
7202&71f4c2722d9b49bebeacf3df578600bc&	заживет &[['спокойствие']]&55.62&ZabashtaYV
7203&ceb3049ec158436bb570c89d38124881&	Опять заболела &[['грусть']]&55.62&ZabashtaYV
7204&7d402810acdb40a2abd6409adc44f0a7&	Я знаю&[['спокойствие']]&55.62&ZabashtaYV
7205&b121d6f5a02d4f7e81c5e004e26e1721&	ПРОЙТИ ТЕСТ НА ЛИШНИЙ ВЕС  / / Возьмите чистый лист бумаги и ручку , отвечая на вопр . .&['Ни одного']&55.62&ZabashtaYV
7206&0df83e5335014cdcb29fb90a6bb28255&	А тебя сучек , чтобы я больше не видела , говнюк сраный ! &[['гнев']]&55.62&ZabashtaYV
7207&4d901aca199c4ab48646223be79a68f4&	У тебя тоже такая херня ? ?&[['удивление']]&55.62&ZabashtaYV
7208&a5d0eb1a30854a49933795fdf4610162&	А уже теплую одежды доставать надо ⠀ Я не сильно расстроена , так как планирую свалить чуть позже  даже дорогой  &[['удивление']]&55.62&ZabashtaYV
7209&ea1784fdb89e4b8bab1165a6f2a15e6d&	мне очень грустно &[['грусть']]&55.62&ZabashtaYV
7210&2d9f83f1da5e496c829d0c1dd61044c4&	 Думаю тут реально стоит закончить наш диалог&[['гнев']]&55.62&ZabashtaYV
7211&789e8b6d142b4a27816c7fc0958a853c&	Просто я стала иглз  года назад и не знаю когда у нас др&[['удивление']]&55.62&ZabashtaYV
7212&127ab0784b374bf4b0ac8042b35b3605&	Скоро в шк&[['грусть']]&55.62&ZabashtaYV
7213&355c769648084ca4b0018ee3012ca4ba&	ПИКИ БЛАЙНДЕРС &['Ни одного']&55.62&ZabashtaYV
7214&e81a653bb98b4e9d93fbc3d4dfcbc6cf&	Надо уважать чужой выбор каким бы он не был  Если не признают ребенка и его выбор , то они становятся суицидниками или еще кемнибудь&[['спокойствие']]&55.62&ZabashtaYV
7215&fc73c4e2e5c04fc9b17b7c84111d68ab&	Ой , все в кого я превращаюсь &[['отвращение']]&55.62&ZabashtaYV
7216&66d6096d6bc44acf9cd76a32e7eeb194&	Буфон &['Ни одного']&55.62&ZabashtaYV
7217&5a2b341ade8447d8b8e96bdcd610ab67&	 сентября - металл ян на Обезьяне  - день сильного металла .&['Ни одного']&55.62&ZabashtaYV
7218&2f4e08ec0eed4836ba05718051cca6b7&	Семинар с Аджан Хуберт  ⠀  лет своей жизни Аджан Хуберт был монахом в традиции тхеравада , жил в . . . &[['спокойствие']]&55.62&ZabashtaYV
7219&fd40f785f38e45b78d321d7aebf64d1f&	Конечно же надо расследовать , но все виновные пошли на повышение&[['гнев']]&55.62&ZabashtaYV
7220&21109bfdcff6433fa6266911a22f7fdf&	Яриа нтр нь яг эрэгтэй хүн нэг л эвгүйцмээр&['Ни одного']&55.62&ZabashtaYV
7221&027577bab6c446de8ec2ee21faed94f7&	ФУ ! ! ! &[['отвращение']]&55.62&ZabashtaYV
7222&1c7f74d8d3b7410995c0ee2c1c8ee150&	ПИЗДЕЦ ВЫ ШО МЭМ ? ? ? ?  pictwittercomSOHNasQw&[['удивление']]&55.62&ZabashtaYV
7223&5f7eae707a40465fa9fb3a4d9c8d5daa&	 Конечно  &[['спокойствие']]&55.62&ZabashtaYV
7224&f7d54291a0ca430f999d6ad2a7c112ac&	Но даже тогда когда кошка успокоилась он сказал :  когда отнисете ее тогда я уйду .&['Ни одного']&55.62&ZabashtaYV
7225&0a3ec5598ee843f68be43c28918d2603&	я , когда предки уезжают на все выхи :  я , одна ночью : &[['счастье']]&55.62&ZabashtaYV
7226&0817cc5189fb487f992a9653413ee74d&	!  АААА и когда их едят даже ппшники из инсты меня просто а́аааааааааааааааааааа&[['удивление']]&55.62&ZabashtaYV
7227&a6541118fa8742ffb8a95bf6aeb63302&	А я этого и не говорила&['Ни одного']&55.62&ZabashtaYV
7228&02b36e90a3c346deac56633db3ec7a7b&	Хайа где ?&[['спокойствие']]&55.62&ZabashtaYV
7229&e3f4fba68f3c40f095b24bf4aac1dda0&	В смысле блин вчера же написала&[['гнев']]&55.62&ZabashtaYV
7230&a2d2cdadcdce416cb5e86d1cb7cc3c7e&	Просто , улыбочка  Почему - то тебя вспомнила когда мне карточка с Я чимином пришла и решила сфотксться   Хотя вопрос причем тут&[['спокойствие']]&55.62&ZabashtaYV
7231&076d9b00a2fd468892b04ed8b1a17f6b&	Я пока что увидела только  плаката / рекламы с бтс &[['спокойствие']]&55.62&ZabashtaYV
7232&fea8cc8c2845437d84d8baae5ee4c4ed&	Откуда ? &[['удивление']]&55.62&ZabashtaYV
7233&7ee89e2dc5e74a5880f0c8ba35214176&	пипец вы че не фаваете я зря редачила миллион часов &[['гнев']]&55.62&ZabashtaYV
7234&45597c30311548e388c9402743ddd87d&	LorianaEvans тоже очень рада , что познакомились и наконец встретимся Всех еще раз поздравляю с днем дружбы , любимые мои pictwittercomjfTcDgKzQ&[['счастье']]&55.62&ZabashtaYV
7235&28ed26bafdfe42efafcc259f8c021064&	 утра &['Ни одного']&55.62&ZabashtaYV
7236&6ea7d456aa3a4fada88e481953b12798&	Люблю наших деток с г класса&[['счастье']]&55.62&ZabashtaYV
7237&139f7fd90ca44199affbb77e8ad18ed8&	поговорите со мной &[['спокойствие']]&55.62&ZabashtaYV
7238&1f69439442d3422ea1ffa4ec78e229c7&	Я заболела &[['грусть']]&55.62&ZabashtaYV
7239&f28f464fee9746d38efbccc7d48f702f&	И чувствую себя &[['спокойствие']]&55.62&ZabashtaYV
7240&8c5a4b7c0de04e94b0e5bb6714a10a61&	Влюбилась в человека которому на меня наплевать&[['грусть']]&55.62&ZabashtaYV
7241&00dbc58fb6d0483bbb24cb7a98d0ab65&	Hunnie Ретвитнул ( а ) NCT&['Ни одного']&55.62&ZabashtaYV
7242&81da7f8bbf6a4b1799cdbb2ec505d81c&	Ппец , как страшноооо ! &[['страх']]&55.62&ZabashtaYV
7243&c57e06e3fb1e4956a83dc2751feb9572&	Господи , что же это ? ! &[['удивление']]&55.62&ZabashtaYV
7244&08d77dc660f8420f8a2fb90563aab4f2&	Удачи в школе&[['спокойствие']]&55.62&ZabashtaYV
7245&3c5814b1ddc842daa16a5865bc383d6e&	Не выйдет она в трусах&[['грусть']]&55.62&ZabashtaYV
7246&84cc458ba879483f82d66082c6a06f0b&	Боззе мой  Ubisoft анонсировали # AssasinCreedOdyssey ️ Жду Е &['Ни одного']&55.62&ZabashtaYV
7247&6ea1942992cb4f1196f44db514d21706&	Ээ , что спогодой не так ?  Днем дождь , через  минут солнце жизнь прекрасна&[['счастье']]&55.62&ZabashtaYV
7248&d26a69f719bd4879888841cec5c2dc44&	сейчас выходить буду&[['спокойствие']]&55.62&ZabashtaYV
7249&377077f9570345c7895ad32743db30f4&	В японской Осаке Трамп был почемуто без супруги Мелании , но в сопровождении дочери Иванки , зятька Джареда Кушнера и ястребов Майка Помпео и Джона&[['удивление']]&55.62&ZabashtaYV
7250&c66b53d58ffc411dbbc3473edf1c2a20&	буцахдаа элсэн тасархайд бууя гсн болилоо &['Ни одного']&55.62&ZabashtaYV
7251&cf2d8d7290024b8ea43174863a6176a0&	 Ретвитнул ( а ) &['Ни одного']&55.62&ZabashtaYV
7252&f6989012f3ba4c4aa3d241ecdc0a5d68&	Биасов во сны и всего хорошего pictwittercomiYQpWuAhy&[['спокойствие']]&55.62&ZabashtaYV
7253&4ee78a4832d849b6bb9984c9536333cf&	Goals asf &['Ни одного']&55.62&ZabashtaYV
7254&6a413a606e7145359aae444f4db0e923&"	Но "" случайные числа "" меня не любят   ."&[['грусть']]&55.62&ZabashtaYV
7255&0a6f79a16de24cfe9144e167de4e32b4&	Ауу   &[['удивление']]&55.62&ZabashtaYV
7256&fba2699809214361aa1335c1d8bf33c8&	я не поняла , только что ктото посторонний выбежал на поле ? ! &[['удивление']]&55.62&ZabashtaYV
7257&3e1be9a872db45fd8d09cc0bfd907582&	Охереееееть не встать . . . . ! ! ! &[['удивление']]&55.62&ZabashtaYV
7258&ada5825a348a4c8f9f5e8b2eaf88a3d3&	Факт хуй оспоришь . . &[['спокойствие']]&55.62&ZabashtaYV
7259&34a308a015f448f18400a65259dbe5bf&	Приехала я в Волгоград в платье без колготок , а тут плюс десять блэт ️ Скоро я перестану шутить про пухан в мае и начну&[['грусть']]&55.62&ZabashtaYV
7260&494a5f283ff94f3ea10c88d9e491adc8&	То чувство , когда твоя подруга бухает в твоем же доме , в соседнем подъезде , а ты лежишь дома и умираешь от простуды &[['гнев']]&55.62&ZabashtaYV
7261&19d36ca5d1764d729668da973190e0e0&	Ну вот мы и встретились !  Манюня , я , выпивка и крыша   # чувствамоимаяки # красотавокругнас &[['счастье']]&55.62&ZabashtaYV
7262&13b397ad0ee142e18b68b225d6e51977&	Ну и чтоя перенашываю такие&['Ни одного']&55.62&ZabashtaYV
7263&1fb24aaebb7d4076a4c44bc9eff0261f&	Почему никто не называет меня Летта , кроме hasik &[['удивление']]&55.62&ZabashtaYV
7264&0fc7c6e58f324c79b0743e9d87a1e49a&	Вот бь шляпану шляпа же&['Ни одного']&55.62&ZabashtaYV
7265&f972d5695f094e989dedbd586129d6e5&	Зүгээр л үнсэлцэнэ гэж бодсышд  Хэлээ хийчихээр чинь цочку яахы  Хазсанд уучлаарай   гэнээ &['Ни одного']&55.62&ZabashtaYV
7266&0398f57a19c54a189ae71238fc8a5b94&	красотка , ты по жизни была бойкой пацанкой , выросшей в полукриминальном АйнаБулаке !&[['удивление']]&55.62&ZabashtaYV
7267&d635063a81ea4d83a79d32793e11aef1&	Был момент которого я так хочу сейчас Эхх &[['счастье']]&55.62&ZabashtaYV
7268&c079fa36774d4f0c82f54efed1b39d41&	ААААА ТЫ ЦООООО   ️️️️️&[['удивление']]&55.62&ZabashtaYV
7269&8d108b87332040b6ad9160adc54bdd70&	ну и как хотите  pictwittercomFxNrnmkwP&[['грусть']]&55.62&ZabashtaYV
7270&35cc46b716fc423fa4b40dae07f03a33&	Оу бро живи &['Ни одного']&55.62&ZabashtaYV
7271&cbd0eacd950d420d90fdc3efe9048875&	# BeYourselfJimin # JiminStopYouArePerfect Я тоже на диету пока нормально есть не будешь ! !&['Ни одного']&55.62&ZabashtaYV
7272&4e4c6cc047514255b7c788f94410b4de&	Человечище ! ️ Бу !&[['удивление']]&55.62&ZabashtaYV
7273&6a4d0059d35b4bacb07a3d849753bd7c&	Долго не засиживайся , сон важнее&[['спокойствие']]&55.62&ZabashtaYV
7274&ac13f5cf6bc74d82aea4f7506ecb0a75&	Вот же он рукожоп ! ! &[['удивление']]&55.62&ZabashtaYV
7275&68ae2498a0b24e20906c1141c403bcab&	Отправили письмо от робота к себе домой  &[['спокойствие']]&55.62&ZabashtaYV
7276&67e2cb1f873b4e028627d1033c8b5121&	Да , ладно . . . . не не не не неда блинаааа Ваш мишка &['Ни одного']&55.62&ZabashtaYV
7277&a995690c86c540f49fb1b1048590130f&	Игроки действительно сами выбирают состав ?&[['удивление']]&55.62&ZabashtaYV
7278&3b98c0d73eec47a286922109f1ce60fc&	что так ? &[['удивление']]&55.62&ZabashtaYV
7279&0df2f2c054b54caf974a4d0a233635f7&	Как же я не хочу понедельник , да и вообще следующую неделю&[['грусть']]&55.62&ZabashtaYV
7280&0138e495175048529989d423ef8068b2&	Франц , если бы я правил этой страной , я бы нес точно такую же ахинею .&['Ни одного']&55.62&ZabashtaYV
7281&b1acf138fdfd41dca4571e10b42332d5&	Скорее Умри , но приди&[['гнев']]&55.62&ZabashtaYV
7282&4a50c79298594f08b1f4beb9ce28aef7&	Хочу чу на ручки и обнимашек &[['спокойствие']]&55.62&ZabashtaYV
7283&1f99130c71bf4a9ca7a9b5909ba45c63&	Это яяяяя ! ! ! Привееееет ! ! !  pictwittercomdAaewawvq&[['счастье']]&55.62&ZabashtaYV
7284&a7bd839183e34a5f8004ff05571b80d9&	Еее , значит это было не напрасно &[['счастье']]&55.62&ZabashtaYV
7285&617aa54b29644577adf69304a0ce1008&	  -  сентября пройдет  отбор в бизнес - инкубатор казанского ИТ - парка   Заявки принимаются до  августа Торопись !&['Ни одного']&55.62&ZabashtaYV
7286&608ffbb5fa5a435ebb0d219aa5b4011b&	Я бы много чего про него надобавляла , но места не хватило бы .&[['отвращение']]&55.62&ZabashtaYV
7287&0958c5cef99a4735ab74fbcc54ef5d70&	На моей свадьбе   викс от️️️️ ️будут исполнять свои песнипочему не все шестеро ?&[['удивление']]&55.62&ZabashtaYV
7288&7d078a749f554193aabd5d683381a60a&	Какая группа ? &[['удивление']]&55.62&ZabashtaYV
7289&e80d9bd6f5fe411d9ec8958be7d0c868&	Мое лицо , когда весь день не читал новости и узнал про Терри в Спартаке &[['удивление']]&55.62&ZabashtaYV
7290&e9c0a3c4f4e041e3bc441016ba6874e8&	если будет хоооолодно , то не поеду я на дни открытых дверей &[['спокойствие']]&55.62&ZabashtaYV
7291&99dbcc4f450b4f98bf3c670ec3cc59ce&	я предлагаю всем в Корею&[['спокойствие']]&55.62&ZabashtaYV
7292&83e376bd9e574dc6a46d8505819bd96b&	Тег  # OneDirectionBestFans уже пропал из мировых  Или это только у меня так ? &[['удивление']]&55.62&ZabashtaYV
7293&74b7427459bd431ea312dca1887555ff&	bjd abjd # migidoll # jrpass # japan # trip Через  часов будем сидеть в самолете !  Господи , как перестать дрожать перед&[['страх']]&55.62&ZabashtaYV
7294&b14ef8c5d4e647bc8f14cff36389bafc&	Не хочу до вечера спойлеров нахватать # GOTSFinale &[['страх']]&55.62&ZabashtaYV
7295&e19417687ed143adbfc9ed98f5763626&	Афигелаааа жрать такое на весь твитееер&[['отвращение']]&55.62&ZabashtaYV
7296&b647d843ee8946288fd487d950cb9ad7&	ски заболел &[['грусть']]&55.62&ZabashtaYV
7297&e8810c6853744c5b90d8970c2ee50182&	Одеваем швейную машинку :  идеи   Инструменты надо хранить с любовью !  pictwittercomQpXynlEe&[['спокойствие']]&55.62&ZabashtaYV
7298&f4f94218c63547eb96ac35ade545b1cd&	Много видел и слышал , Дышал уже не с одной &['Ни одного']&55.62&ZabashtaYV
7299&9dba82fc73f94c3bae678a0eb1746657&	Когдааа зп&[['гнев']]&55.62&ZabashtaYV
7300&6d85020d40ff480c8f5a5c79c8c3de3e&	Утро - солнце .  Поехали на Рубское отдохнуть - дождь , ветер , снег , вьюга , ураган , злые петух и , голые&[['гнев']]&55.62&ZabashtaYV
7301&1287d8144ea84c9b9579c1ce48bab91d&	хм pictwittercomYBonRZqJL&[['удивление']]&55.62&ZabashtaYV
7302&3b5b36a5d09e472c877bf94ecbfe3ed1&	В  уже прилетела в Милан ! ! !  Кайфую ф этом городе ! ! !  Как дела в Гомеле ?&[['счастье']]&55.62&ZabashtaYV
7303&174cde4b658c49e9a7996e89ea825485&"	Вот это "" они боятся нас больше , чем мы сами "" вышел мне боком , как- то Корова забодала и собака укусила"&[['гнев']]&55.62&ZabashtaYV
7304&b75a27eb0cd641cc80408405e9e54190&	Оо боже , я хочу вернуть лето  Хочу на море , хочу выспаться !&[['грусть']]&55.62&ZabashtaYV
7305&6b111d85c34143fcba2fedd818e157dd&	Би естой аймар гашуудхлтай уйлдышд &['Ни одного']&55.62&ZabashtaYV
7306&2cdd65eb35d64c979e4f9d5bc6b19db5&	ну что за конченые люди , блять  злюсь на свое бессилие  если бы ты хотя бы в Раше была . . . касаемо&[['гнев']]&55.62&ZabashtaYV
7307&8bdb6d43291f494986f7d07cea5b3ea9&	Да &['Ни одного']&55.62&ZabashtaYV
7308&4044da51adde42e7bf8fd085f9927434&	Провалялась весь день в кровати , даже есть вставать лень На меня это не похоже&[['удивление']]&55.62&ZabashtaYV
7309&e47aa5b3a860454a9c2404c9a67086b1&	Что не новости в Беларуси - так это то совращение малолетних или кражи&[['гнев']]&55.62&ZabashtaYV
7310&617ba3d465b84c149ce44985e0c6c191&	Хорваты душат &[['гнев']]&55.62&ZabashtaYV
7311&bd3662a0787f4b6bae8ebc4208a4fca1&	Но пост главы больницы займет сын руководителя поликлиники  в Серове и придет со своей командой . &[['удивление']]&55.62&ZabashtaYV
7312&89df20b9b7534591bf5e674fc8381999&	He s one awesome individual &['Ни одного']&55.62&ZabashtaYV
7313&1a15e78b684b4008aa9333ae8caf1c8e&	Недослушала новый альбом и теперь не могу угадать песни&[['грусть']]&55.62&ZabashtaYV
7314&63a7f4480fff401d99e8e13fa70e6f9d&	Что у мальчика с лицом ? &[['удивление']]&55.62&ZabashtaYV
7315&5c0e16bb16cf42328be57c515d5ef67b&	Тебе только бтс стало интересно слушать !  - - - - - - - Мне конечно было обидно . . .&[['грусть']]&55.62&ZabashtaYV
7316&64f06bad601f45399441aa3f6350672f&	шо опять не поделили шо то ? - даааа ( ( ( счееет ( ( ( &[['грусть']]&55.62&ZabashtaYV
7317&09429f6a9ff14a66a1a702966c80071b&	вооот , паскудство нашей системы&[['гнев']]&55.62&ZabashtaYV
7318&04e46010f4734c16a66c3a94b122f63f&	Щас бы в другой общаге остаться ночевать , чтобы в  :  вернуться домой , ееее Спатьспатьспать&[['грусть']]&55.62&ZabashtaYV
7319&e98b73c57b82403ca1cb3eb266514cab&	Я слишком устала , чтобы както сильно реагировать на красные волосы Чонгука  # BTSxLotteFamilyConcert&['Ни одного']&55.62&ZabashtaYV
7320&0f296c074d6540408d69796c76f28eb8&	и опять от Lliumlich  бенесруль камбердвачу  стекла нет никаких , не считая пару плакатов с европидорами хей мамма , лел мороженки pictwittercomlAolLrx&['Ни одного']&55.62&ZabashtaYV
7321&05ec43040d0049c9815856a0fb0eb299&	Не могу дождаться уже , когда и мы с milkshake будем ходить в наших факультетских шарфиках &[['счастье']]&55.62&ZabashtaYV
7322&8a23adfcccf0412faf865e4e2de4d919&	Бириэмэ бытаанын сессия кэмигэр &['Ни одного']&55.62&ZabashtaYV
7323&77a08b74b5594708bc3c4b9801c0a3b0&	Я один не бежал # Полумарафон ? ! кто там еще без медалек ? &[['грусть']]&55.62&ZabashtaYV
7324&d162c319c6094c0894d5d41ee2d05e79&	Обижаюсь , но быстро забываю   ) Nastya Swan   ) неа , щяс не до любви   ) Мята  &[['спокойствие']]&55.62&ZabashtaYV
7325&88f17feb31cb40cbb82e5915d4557e19&	да я смотрю мы с тобой вообще отдельной кастой . .. и глаза у нас все видят через другую призму&[['удивление']]&55.62&ZabashtaYV
7326&d8737c618dc24d579552c3fa7999234a&	Арчи и Багхед еще норм А вот остальные &[['удивление']]&55.62&ZabashtaYV
7327&46c62a233ada46899ece2fc3c29a931a&	Франц , ты уже должен бы и привыкнуть - это русский дзэн ️ pictwittercomXYvIjyfdx&[['удивление']]&55.62&ZabashtaYV
7328&6014a575b4874fe0a8f8ef5974e7849a&	О у еееее&[['счастье']]&55.62&ZabashtaYV
7329&9b137f474ebf479a959be9b508fec6b1&	сижу жду очередь , чото трудно дышать &[['страх']]&55.62&ZabashtaYV
7330&6101effb5e5a4e3f85c6d2fecdb16713&	 Зоригийн хэрэг &['Ни одного']&55.62&ZabashtaYV
7331&036b384fcd484681b56236c04fa35df0&	Не знаю как вы но я немного шипперю Джина и Джисуну разве они не милашки ?&['Ни одного']&55.62&ZabashtaYV
7332&7cb34797d6904d9bb8f1ab31f5d72970&	Жиза , Оль&[['спокойствие']]&55.62&ZabashtaYV
7333&d8021d4270ed4994bf4da713ab8e62e1&	А СМИ продолжают  мдаа&[['удивление']]&55.62&ZabashtaYV
7334&fa4fc6f798514b02894d6c7004edb024&	Хорошо , хоть на спасибо хватает &[['удивление']]&55.62&ZabashtaYV
7335&709e26aa96bf4888a3ddc14b189fc62e&	И в этом главный минус   pictwittercomVSjdGxa&[['спокойствие']]&55.62&ZabashtaYV
7336&39a17f2ee4d44f048f21930cac2cd824&	Хоть один день у меня пройдет продуктивно ?&[['грусть']]&55.62&ZabashtaYV
7337&2dcc61af2d7b4d57ba317b7e6ceafeb7&	Откуда он узнал ?  pictwittercomZRsBJeZZf&[['удивление']]&55.62&ZabashtaYV
7338&4fafbc2ecf23409197c227fec00b0c08&	разрываюсь между истерическим смехом и слезами счастья . taelivaa  ️ pictwittercomkvFQjY&[['счастье']]&55.62&ZabashtaYV
7339&614b9aa9479e443492ba98b643b24fc5&	Тоже так подумал когда читал&[['спокойствие']]&55.62&ZabashtaYV
7340&4e8135743eca47efb793b542a7939b5c&	 Жертвоприношение и подделка документов .&['Ни одного']&55.62&ZabashtaYV
7341&7fa6472deb9f48d5be4200fee926b2d4&	¦¦ Юнгеша ¦¦ Ретвитнула ) Крольчанский &['Ни одного']&55.62&ZabashtaYV
7342&2bcf4a44204a4ad3abf23a4c0df13d42&	И на РПУ &['Ни одного']&55.62&ZabashtaYV
7343&05f14418c7cb4b8c8918e676eaa43e6d&	Я ЕДУ НА БАСТУ , НА БАСТУ , БАСТУ НОГГАНО НИНДЕНДО БАСТУ БАСТУ БАСТУ &[['счастье']]&55.62&ZabashtaYV
7344&0f81a63104264cb199dd898794392c0e&	Нелегкие времена нынче у студентов pictwittercomQRsPCeZSz&[['грусть']]&55.62&ZabashtaYV
7345&62ba51c56b8143d28222628f3ddc0165&	thejosephyang &['Ни одного']&55.62&ZabashtaYV
7346&5b8b9b68e9104c1ea33ce87cffd7f9e3&	Энэ хүн бна бас  pictwittercomWVkNCirFR&['Ни одного']&55.62&ZabashtaYV
7347&f1822b5529db4782a4747ee3292d9dac&	Это Офигенно&[['счастье']]&55.62&ZabashtaYV
7348&a868055e97a244ddaf38c54b3d22705f&	Говорю я до сих пор с трудом ( голос возвращается , но очень медленно ) , но это не помешает мне &[['грусть']]&55.62&ZabashtaYV
7349&d2668de4997e4a55b14817ab7b541920&	Сегодня Германия  будет топтать и рвать я надеюсь  ! ! ! ! !&[['счастье']]&55.62&ZabashtaYV
7350&d50d7de36bfc43d5a89e2578783e0a02&	Не так давно знакома с got , но просто не могу упустить возможность написать о Дне Рождении Марка  Когда первый раз узнала об этой&[['спокойствие']]&55.62&ZabashtaYV
7351&5d434aa516be44fea82d0e732e822d34&	Уууу , все настолько плохо ? &[['удивление']]&55.62&ZabashtaYV
7352&c11353de99414cceb4b284e14469c926&	Пиздеж это все и провокация &[['спокойствие']]&55.62&ZabashtaYV
7353&c5efcb41594c4896b0b4edee9fd75633&	Уши &['Ни одного']&55.62&ZabashtaYV
7354&3e4bcf7184724bfdac225f1d94caeaa3&	нукажитааааак  &[['удивление']]&55.62&ZabashtaYV
7355&0cea756d0e054afbb930bd7a6157907f&	люблю алину &[['счастье']]&55.62&ZabashtaYV
7356&88606ba94e15436d90f6f74df9533f2e&	Демоны  &[['гнев']]&55.62&ZabashtaYV
7357&1b1a6a3cf62044a6b4f5499e902ae75d&	ОЛЯ&['Ни одного']&55.62&ZabashtaYV
7358&cb82fce9d7b545caa8c37db955f7f437&	Сейчас бы температуре подняться . . . &['Ни одного']&55.62&ZabashtaYV
7359&ca1b1c55dad4475182d2db58df52a891&	походу мне пора на покой&[['грусть']]&55.62&ZabashtaYV
7360&f5c6677dd76d4329a5465e81801a9ee1&	Фуххх , все успела &[['спокойствие']]&55.62&ZabashtaYV
7361&250a193e7d65400aaf06836968cf8952&	Ма звонит : - у нас тут  , жарень , лето Карелия : - снег с дождем ,  , ветер &[['удивление']]&55.62&ZabashtaYV
7362&189689b5e3d44c76ab91ee115d3a325a&	Типа теперь и днем можно убивать ? ? ? ? ? ? ? ?&[['удивление']]&55.62&ZabashtaYV
7363&df0a76859de74effa7eb3f9a186b4bd8&	    На приеме у врача : - Доктор , у меня болит ВСЕ . . ! ! ! . . .&[['грусть']]&55.62&ZabashtaYV
7364&bde00b00a54c4122ad18878c06ded228&	Никому не скажу&[['спокойствие']]&55.62&ZabashtaYV
7365&9e54bfa641504ccfbac13295871a24e7&	ЭТО . &['Ни одного']&55.62&ZabashtaYV
7366&01b232eae40f45149498f40ae1823b25&	Вот иногда не хочется быть сильной а приходится А иногда приходится притворяться .&[['грусть']]&55.62&ZabashtaYV
7367&7320bc6c46134f3fb2136176f54e4e46&	️️ ️️️️️️️️️️  ️ ️ < Добро пожаловать&['Ни одного']&55.62&ZabashtaYV
7368&12287e70fa6e4dd996c142c2b89bd455&	Просто заманила стикерами &['Ни одного']&55.62&ZabashtaYV
7369&f07ab2fc8f0e48fa811824c464bfb784&	Вы только представьте ДибалаРоналду - Дуглас Коста Ааааааааааааа # ForzaJuve&[['счастье']]&55.62&ZabashtaYV
